MTPR from curr14.mtp, Database: group1.cfg
validation set: group2.cfg
Found configuration with mindist=2.00222, MTP's mindist will be decreased
BFGS iterations count set to 3000
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0
MTPR parallel training started
BFGS iter 182: f=0.0153072
BFGS iter 183: f=0.0153057
BFGS iter 184: f=0.0153043
BFGS iter 185: f=0.0153031
BFGS iter 186: f=0.0153017
BFGS iter 187: f=0.0153004
BFGS iter 188: f=0.0152992
BFGS iter 189: f=0.0152979
BFGS iter 190: f=0.0152958
BFGS iter 191: f=0.0152939
BFGS iter 192: f=0.0152924
BFGS iter 193: f=0.0152911
BFGS iter 194: f=0.0152895
BFGS iter 195: f=0.0152881
BFGS iter 196: f=0.0152864
BFGS iter 197: f=0.0152844
BFGS iter 198: f=0.0152829
BFGS iter 199: f=0.015281
BFGS iter 200: f=0.0152653
BFGS iter 201: f=0.0152614
BFGS iter 202: f=0.015258
BFGS iter 203: f=0.0152557
BFGS iter 204: f=0.0152542
BFGS iter 205: f=0.0152528
BFGS iter 206: f=0.0152521
BFGS iter 207: f=0.0152506
BFGS iter 208: f=0.0152493
BFGS iter 209: f=0.015248
BFGS iter 210: f=0.0152471
BFGS iter 211: f=0.0152454
BFGS iter 212: f=0.0152437
BFGS iter 213: f=0.0152417
BFGS iter 214: f=0.0152398
BFGS iter 215: f=0.0152378
BFGS iter 216: f=0.0152362
BFGS iter 217: f=0.0152345
BFGS iter 218: f=0.0152327
BFGS iter 219: f=0.0152304
BFGS iter 220: f=0.0152278
BFGS iter 221: f=0.0152255
BFGS iter 222: f=0.0152237
BFGS iter 223: f=0.0152219
BFGS iter 224: f=0.0152198
BFGS iter 225: f=0.0152176
BFGS iter 226: f=0.0152149
BFGS iter 227: f=0.0152127
BFGS iter 228: f=0.0152104
BFGS iter 229: f=0.0152087
BFGS iter 230: f=0.0152072
BFGS iter 231: f=0.0152047
BFGS iter 232: f=0.0152014
BFGS iter 233: f=0.0151986
BFGS iter 234: f=0.0151956
BFGS iter 235: f=0.0151934
BFGS iter 236: f=0.0151904
BFGS iter 237: f=0.0151878
BFGS iter 238: f=0.0151848
BFGS iter 239: f=0.0151825
BFGS iter 240: f=0.0151797
BFGS iter 241: f=0.0151774
BFGS iter 242: f=0.0151752
BFGS iter 243: f=0.0151724
BFGS iter 244: f=0.0151696
BFGS iter 245: f=0.0151669
BFGS iter 246: f=0.0151648
BFGS iter 247: f=0.015163
BFGS iter 248: f=0.0151606
BFGS iter 249: f=0.0151582
BFGS iter 250: f=0.0151332
BFGS iter 251: f=0.015126
BFGS iter 252: f=0.0151228
BFGS iter 253: f=0.0151199
BFGS iter 254: f=0.0151176
BFGS iter 255: f=0.015115
BFGS iter 256: f=0.0151115
BFGS iter 257: f=0.0151067
BFGS iter 258: f=0.0151021
BFGS iter 259: f=0.0150983
BFGS iter 260: f=0.0150945
BFGS iter 261: f=0.0150903
BFGS iter 262: f=0.0150866
BFGS iter 263: f=0.0150832
BFGS iter 264: f=0.0150796
BFGS iter 265: f=0.0150765
BFGS iter 266: f=0.0150732
BFGS iter 267: f=0.0150705
BFGS iter 268: f=0.0150678
BFGS iter 269: f=0.0150656
BFGS iter 270: f=0.0150627
BFGS iter 271: f=0.0150597
BFGS iter 272: f=0.0150576
BFGS iter 273: f=0.0150548
BFGS iter 274: f=0.0150512
BFGS iter 275: f=0.0150482
BFGS iter 276: f=0.0150453
BFGS iter 277: f=0.0150424
BFGS iter 278: f=0.0150393
BFGS iter 279: f=0.0150368
BFGS iter 280: f=0.0150335
BFGS iter 281: f=0.0150306
BFGS iter 282: f=0.0150281
BFGS iter 283: f=0.0150254
BFGS iter 284: f=0.0150227
BFGS iter 285: f=0.0150194
BFGS iter 286: f=0.0150167
BFGS iter 287: f=0.0150143
BFGS iter 288: f=0.0150116
BFGS iter 289: f=0.0150098
BFGS iter 290: f=0.0150079
BFGS iter 291: f=0.0150057
BFGS iter 292: f=0.0150035
BFGS iter 293: f=0.015002
BFGS iter 294: f=0.0150001
BFGS iter 295: f=0.0149985
BFGS iter 296: f=0.0149969
BFGS iter 297: f=0.014995
BFGS iter 298: f=0.0149935
BFGS iter 299: f=0.0149921
BFGS iter 300: f=0.0149499
BFGS iter 301: f=0.0149467
BFGS iter 302: f=0.0149429
BFGS iter 303: f=0.014941
BFGS iter 304: f=0.0149389
BFGS iter 305: f=0.0149375
BFGS iter 306: f=0.0149357
BFGS iter 307: f=0.0149343
BFGS iter 308: f=0.0149329
BFGS iter 309: f=0.0149315
BFGS iter 310: f=0.0149294
BFGS iter 311: f=0.014928
BFGS iter 312: f=0.0149261
BFGS iter 313: f=0.0149241
BFGS iter 314: f=0.0149224
BFGS iter 315: f=0.0149206
BFGS iter 316: f=0.0149185
BFGS iter 317: f=0.0149169
BFGS iter 318: f=0.0149148
BFGS iter 319: f=0.0149132
BFGS iter 320: f=0.0149113
BFGS iter 321: f=0.0149096
BFGS iter 322: f=0.0149077
BFGS iter 323: f=0.0149059
BFGS iter 324: f=0.014904
BFGS iter 325: f=0.0149024
BFGS iter 326: f=0.0149008
BFGS iter 327: f=0.0148989
BFGS iter 328: f=0.0148971
BFGS iter 329: f=0.0148946
BFGS iter 330: f=0.0148923
BFGS iter 331: f=0.0148905
BFGS iter 332: f=0.0148886
BFGS iter 333: f=0.0148867
BFGS iter 334: f=0.0148847
BFGS iter 335: f=0.0148833
BFGS iter 336: f=0.0148819
BFGS iter 337: f=0.0148804
BFGS iter 338: f=0.0148792
BFGS iter 339: f=0.0148781
BFGS iter 340: f=0.0148762
BFGS iter 341: f=0.0148745
BFGS iter 342: f=0.014873
BFGS iter 343: f=0.0148713
BFGS iter 344: f=0.0148696
BFGS iter 345: f=0.0148683
BFGS iter 346: f=0.0148666
BFGS iter 347: f=0.0148649
BFGS iter 348: f=0.0148635
BFGS iter 349: f=0.0148617
BFGS iter 350: f=0.0148293
BFGS iter 351: f=0.0148237
BFGS iter 352: f=0.0148205
BFGS iter 353: f=0.0148191
BFGS iter 354: f=0.0148174
BFGS iter 355: f=0.014815
BFGS iter 356: f=0.0148133
BFGS iter 357: f=0.0148115
BFGS iter 358: f=0.01481
BFGS iter 359: f=0.0148082
BFGS iter 360: f=0.0148067
BFGS iter 361: f=0.0148054
BFGS iter 362: f=0.0148034
BFGS iter 363: f=0.014802
BFGS iter 364: f=0.0148006
BFGS iter 365: f=0.014799
BFGS iter 366: f=0.0147979
BFGS iter 367: f=0.0147962
BFGS iter 368: f=0.0147946
BFGS iter 369: f=0.0147935
BFGS iter 370: f=0.0147918
BFGS iter 371: f=0.0147901
BFGS iter 372: f=0.0147885
BFGS iter 373: f=0.014787
BFGS iter 374: f=0.0147851
BFGS iter 375: f=0.0147835
BFGS iter 376: f=0.0147817
BFGS iter 377: f=0.0147804
BFGS iter 378: f=0.0147783
BFGS iter 379: f=0.0147772
BFGS iter 380: f=0.0147755
BFGS iter 381: f=0.0147737
BFGS iter 382: f=0.014772
BFGS iter 383: f=0.01477
BFGS iter 384: f=0.0147684
BFGS iter 385: f=0.0147664
BFGS iter 386: f=0.014764
BFGS iter 387: f=0.0147624
BFGS iter 388: f=0.0147607
BFGS iter 389: f=0.0147591
BFGS iter 390: f=0.0147573
BFGS iter 391: f=0.0147543
BFGS iter 392: f=0.0147511
BFGS iter 393: f=0.0147482
BFGS iter 394: f=0.0147451
BFGS iter 395: f=0.0147424
BFGS iter 396: f=0.0147397
BFGS iter 397: f=0.0147373
BFGS iter 398: f=0.0147344
BFGS iter 399: f=0.0147314
BFGS iter 400: f=0.014702
BFGS iter 401: f=0.0146908
BFGS iter 402: f=0.0146883
BFGS iter 403: f=0.0146871
BFGS iter 404: f=0.0146855
BFGS iter 405: f=0.0146832
BFGS iter 406: f=0.0146814
BFGS iter 407: f=0.0146796
BFGS iter 408: f=0.0146772
BFGS iter 409: f=0.0146744
BFGS iter 410: f=0.014672
BFGS iter 411: f=0.0146693
BFGS iter 412: f=0.0146662
BFGS iter 413: f=0.0146642
BFGS iter 414: f=0.0146619
BFGS iter 415: f=0.0146593
BFGS iter 416: f=0.0146576
BFGS iter 417: f=0.0146559
BFGS iter 418: f=0.0146543
BFGS iter 419: f=0.0146528
BFGS iter 420: f=0.0146509
BFGS iter 421: f=0.0146485
BFGS iter 422: f=0.0146468
BFGS iter 423: f=0.014645
BFGS iter 424: f=0.0146432
BFGS iter 425: f=0.0146414
BFGS iter 426: f=0.0146395
BFGS iter 427: f=0.0146373
BFGS iter 428: f=0.0146356
BFGS iter 429: f=0.0146339
BFGS iter 430: f=0.0146318
BFGS iter 431: f=0.01463
BFGS iter 432: f=0.0146285
BFGS iter 433: f=0.0146266
BFGS iter 434: f=0.0146243
BFGS iter 435: f=0.0146218
BFGS iter 436: f=0.0146197
BFGS iter 437: f=0.0146171
